PARK	LIFE STAGE	HEIGHT	LEAF NUMBER	LEAF L	LEAF W
HAWN	JUVENILE	27	4	16	6.8
HAWN	JUVENILE	33.7	6	17	7.5
HAWN	JUVENILE	13.5	4	10.1	3.8
HAWN	JUVENILE	6.3	3	5.4	2
HAWN	JUVENILE	2.5	2	2.6	1.1
HAWN	JUVENILE	5	2	4.7	1.8
HAWN	JUVENILE	5.1	3	5.6	2.2
HAWN	JUVENILE	3.1	2	3.1	0.6
HAWN	JUVENILE	5.2	2	6.8	1.8
HAWN	JUVENILE	3.7	2	2.9	0.7
HAWN	JUVENILE	0.7	2	2.7	1
HAWN	JUVENILE	3.6	2	3.6	1.3
HAWN	JUVENILE	5	3	3.7	1.8
HAWN	JUVENILE	2.7	2	3.1	0.6
HAWN	JUVENILE	6.3	2	4.6	1.5
HAWN	JUVENILE	5.1	2	5	0.8
HAWN	JUVENILE	3.5	2	4.1	1.7
HAWN	JUVENILE	3.9	2	5.7	2
HAWN	JUVENILE	2.9	2	4.2	1.4
HAWN	JUVENILE	2	1	2.1	0.5
HAWN	JUVENILE	2.7	2	2.1	0.4
HAWN	JUVENILE	6.7	3	6.9	2.8
HAWN	JUVENILE	5.4	3	5.9	1.9
HAWN	JUVENILE	2.5	2	6.2	2.1
HAWN	JUVENILE	3.7	3	4.6	1.4
HAWN	JUVENILE	5.2	3	6.2	2.7
HAWN	JUVENILE	2	2	4.4	1.9
HAWN	JUVENILE	0.9	2	2.1	0.8
HAWN	MATURE	46.4	7	15.5	6.7
HAWN	MATURE	49.8	7	15.1	7.8
HAWN	MATURE	49.5	6	15.2	8.1
HAWN	MATURE	47.5	6	16.3	8.3
HAWN	MATURE	49.4	7	17.1	8.7
HAWN	MATURE	49.1	7	16.2	8.9
HAWN	MATURE	53.6	6	17.2	10.1
HAWN	MATURE	43.3	7	13.4	7.6
HAWN	MATURE	51.3	7	15.7	8.5
HAWN	MATURE	53.8	7	15.2	7.4
HAWN	MATURE	44.9	6	16	8.7
HAWN	MATURE	46.6	6	15.9	8.8
HAWN	MATURE	48.2	6	16.1	8.9
HAWN	MATURE	50	6	16.6	8.3
HAWN	MATURE	38.3	5	15.8	7.8
HAWN	MATURE	52.4	6	15.5	8.3
HAWN	MATURE	46.6	7	17.7	8.2
HAWN	MATURE	47.4	7	15.8	8.7
HAWN	MATURE	41.2	6	13.8	6.5
HAWN	MATURE	53.5	6	16.5	8.2
HAWN	MATURE	56	7	17.4	8.9
HAWN	MATURE	53.6	7	17.4	8.6
HAWN	MATURE	49.1	7	17	8.9
HAWN	MATURE	49.8	7	16.4	9
HAWN	MATURE	49	6	15.7	7.8
HAWN	MATURE	52.9	7	17	7.7
HAWN	MATURE	44.3	6	15.6	7.2
ST FRAN	JUVENILE	13	4	9.8	4
ST FRAN	JUVENILE	18.6	5	11.5	4.7
ST FRAN	JUVENILE	7.5	3	8.8	2.9
ST FRAN	JUVENILE	10.4	3	8.8	2.4
ST FRAN	JUVENILE	14.7	3	11.9	4.2
ST FRAN	JUVENILE	8.7	2	10	2.7
ST FRAN	JUVENILE	15.3	4	8.8	3.1
ST FRAN	JUVENILE	5.9	3	2.1	1.3
ST FRAN	JUVENILE	11.7	3	6.7	3.9
ST FRAN	JUVENILE	7.6	3	1.8	1.7
ST FRAN	JUVENILE	41.8	5	12	7.6
ST FRAN	JUVENILE	9.5	3	9.4	2.6
ST FRAN	JUVENILE	16.4	5	12.6	4.1
ST FRAN	JUVENILE	10.1	3	9.9	2.8
ST FRAN	JUVENILE	12.1	4	9.9	3.4
ST FRAN	JUVENILE	22.4	6	14.3	5.8
ST FRAN	JUVENILE	10.2	4	9.1	3.6
ST FRAN	JUVENILE	26.5	5	13.8	6.8
ST FRAN	JUVENILE	23.7	6	14.4	6.2
ST FRAN	JUVENILE	17.5	5	9.2	4.2
ST FRAN	JUVENILE	28	6	14.2	5.8
ST FRAN	JUVENILE	9.4	4	6.8	2.2
ST FRAN	JUVENILE	6.8	3	7.6	3.3
ST FRAN	JUVENILE	19.1	4	9.5	4.2
ST FRAN	JUVENILE	18.4	6	10.6	4.3
ST FRAN	JUVENILE	21.5	6	11.9	4.2
ST FRAN	JUVENILE	14.1	4	10.2	3.2
ST FRAN	JUVENILE	8.9	3	8.8	2.5
ST FRAN	JUVENILE	29	6	13.6	6.8
ST FRAN	JUVENILE	7.6	3	6.4	1.9
ST FRAN	JUVENILE	28.7	5	14.7	7.8
ST FRAN	JUVENILE	15.8	5	9.6	5
ST FRAN	JUVENILE	23.1	5	13.6	7
ST FRAN	JUVENILE	15.7	4	13	5.6
ST FRAN	JUVENILE	10.3	4	9.3	4.4
ST FRAN	JUVENILE	21.1	5	14.2	7.6
ST FRAN	JUVENILE	12.4	4	10.7	4.6
ST FRAN	JUVENILE	19.1	4	12.4	4.6
ST FRAN	JUVENILE	24.6	4	14.1	7.2
ST FRAN	JUVENILE	14.2	4	12	5.4
ST FRAN	JUVENILE	17.4	5	12.8	8.3
ST FRAN	JUVENILE	7.6	3	7.1	2.6
ST FRAN	JUVENILE	8.7	3	8.6	2.7
ST FRAN	JUVENILE	26.5	5	12.3	6.3
ST FRAN	JUVENILE	22.1	5	12.4	7.1
ST FRAN	JUVENILE	7.8	3	7.8	2.5
ST FRAN	JUVENILE	12.5	3	9.5	3.2
ST FRAN	JUVENILE	11.3	3	10.6	4.9
ST FRAN	JUVENILE	21	5	14.3	8
ST FRAN	JUVENILE	20.1	5	14	6.3
ST FRAN	JUVENILE	6.9	3	9.7	3.8
ST FRAN	JUVENILE	16.6	4	12.5	5.4
ST FRAN	JUVENILE	5.6	3	6.2	2.3
ST FRAN	JUVENILE	18.4	4	13.2	6.4
ST FRAN	JUVENILE	9.7	3	8.4	2.5
