Bee.no,Sex,Family,Species,thorax_head.L,abdomen.L,total.length,thoracic.width,thoracic.depth,IT,Weight
1,Male,Apidae,Ptilothrix_bombiformis,6.81,7.45,14.26,5.51,5.05,4.47,57.24080504
2,Female,Apidae,Ptilothrix_bombiformis,8.65,7.95,16.6,5.71,6.12,4.4,66.97576361
3,Female,Apidae,Ptilothrix_bombiformis,7.27,7.69,14.96,5.29,5.73,4.25,62.09960994
4,Female,Apidae,Ptilothrix_bombiformis,7.62,8.41,16.03,5.92,6.2,4.21,60.67109105
5,Male,Apidae,Ptilothrix_bombiformis,7.79,8.24,16.03,6.04,6.15,4.68,62.87573541
6,Female,Apidae,Ptilothrix_bombiformis,6.58,7.06,13.64,4.79,6.18,3.75,47.4278968
7,Male,Apidae,Ptilothrix_bombiformis,7.46,9.62,17.08,5.69,6.37,3.95,43.86566483
8,Female,Apidae,Ptilothrix_bombiformis,6.95,8.1,15.05,5.61,5.8,4.29,63.37468707
9,Female,Apidae,Ptilothrix_bombiformis,7.21,7.68,14.89,5.8,6.12,3.81,49.19758902
10,Male,Apidae,Ptilothrix_bombiformis,6.37,6.31,12.68,5.02,5.46,3.88,42.63056022
11,Female,Apidae,Ptilothrix_bombiformis,8.04,8.47,16.51,6.36,6.08,4.64,74.36691008
12,Male,Apidae,Ptilothrix_bombiformis,7.52,8.55,16.07,6.05,6.02,4.25,51.52739427
13,Female,Apidae,Ptilothrix_bombiformis,7.47,6.91,14.38,5.88,6.05,4.27,62.46375952
14,Female,Apidae,Ptilothrix_bombiformis,6.62,7.35,13.97,5.11,4.79,3.87,50.92685789
15,Female,Apidae,Ptilothrix_bombiformis,7.96,8.54,16.5,6.02,5.72,4.26,62.59582278
16,Female,Apidae,Ptilothrix_bombiformis,7.1,9.27,16.37,6.51,6.37,5.14,93.60243788
17,Male,Apidae,Ptilothrix_bombiformis,8.18,9.65,17.83,6.65,7.07,5.2,79.08751031
18,Male,Apidae,Ptilothrix_bombiformis,8.35,9.3,17.65,6.64,7.06,4.69,63.74835196
19,Female,Apidae,Ptilothrix_bombiformis,7.34,8.53,15.87,5.6,5.49,4.62,73.83521737
20,Female,Apidae,Ptilothrix_bombiformis,7.3,7.17,14.47,5.85,5.83,4.15,59.22958511
21,Male,Apidae,Ptilothrix_bombiformis,7.77,7.69,15.46,6.93,6.6,5.38,85.06741647
22,Female,Apidae,Ptilothrix_bombiformis,6.79,7.7,14.49,5.47,5.08,4.47,68.74817739
23,Male,Apidae,Ptilothrix_bombiformis,7.94,9.02,16.96,6.15,6.28,4.5,58.50687911
24,Female,Apidae,Ptilothrix_bombiformis,8.48,8.53,17.01,6.25,6.4,4.76,78.60662349
25,Male,Apidae,Ptilothrix_bombiformis,8.23,8.63,16.86,6.08,6.34,4.84,68.11067002
26,Male,Apidae,Ptilothrix_bombiformis,7.91,7.89,15.8,5.65,6.49,4.29,52.41696465
27,Female,Apidae,Ptilothrix_bombiformis,7.37,7.61,14.98,5.61,6.17,4.61,73.17796326
28,Female,Apidae,Ptilothrix_bombiformis,8.06,9.06,17.12,6.51,5.74,4.92,85.39551196
29,Male,Apidae,Ptilothrix_bombiformis,8.46,9.22,17.68,6.52,7.03,4.25,51.55818773
30,Male,Apidae,Ptilothrix_bombiformis,8.3,8.06,16.36,6.13,6.68,4.2,50.27102948
31,Female,Apidae,Ptilothrix_bombiformis,7.44,7.78,15.22,5.85,5.76,4.73,77.98518248
32,Female,Apidae,Ptilothrix_bombiformis,7.67,8.01,15.68,5.99,6.14,4.48,69.37536393
33,Female,Apidae,Ptilothrix_bombiformis,8.77,9.7,18.47,6.41,5.56,5.05,88.88114096
34,Female,Apidae,Ptilothrix_bombiformis,8.68,9.66,18.34,6.88,5.57,4.85,81.56971466
35,Male,Apidae,Ptilothrix_bombiformis,7.07,8.67,15.74,5.55,6,4.01,45.42214034
36,Female,Apidae,Ptilothrix_bombiformis,8.16,7.33,15.49,5.23,4.44,4.35,65.17321027
