TREAT,NUM,MASS
LOW,100.0,0.7371
LOW,112.0,0.648
LOW,15.0,0.608
LOW,64.0,0.606
LOW,35.0,0.499
LOW,73.0,0.3966
LOW,51.0,0.5123
LOW,32.0,0.318
LOW,34.0,1.1079
LOW,79.0,0.8665
LOW,88.0,0.8206
LOW,84.0,0.6188
LOW,49.0,1.5224
LOW,108.0,1.3396
LOW,77.0,0.9635
LOW,74.0,0.933
LOW,15.0,0.2778
LOW,67.0,0.6128
LOW,54.0,0.4718
LOW,42.0,0.631
LOW,104.0,0.774
LOW,55.0,0.5105
LOW,102.0,1.4377
LOW,47.0,0.3254
LOW,65.0,1.0074
LOW,37.0,0.7432
LOW,92.0,0.6478
LOW,88.0,1.6741
LOW,104.0,1.6086
LOW,118.0,0.9461
LOW,104.0,0.477
LOW,87.0,1.092
LOW,77.0,1.2385
LOW,70.0,0.9346
LOW,107.0,1.052
LOW,76.0,0.964
LOW,126.0,1.084
LOW,46.0,1.1383
LOW,57.0,0.6621
LOW,57.0,0.9101
LOW,114.0,0.7487
LOW,114.0,0.7434
LOW,73.0,1.0909
LOW,99.0,1.3927
LOW,83.0,0.6771
LOW,28.0,1.2983
LOW,71.0,0.437
LOW,135.0,0.7919
LOW,58.0,0.3025
LOW,75.0,0.9041
LOW,71.0,1.1932
LOW,108.0,0.7712
LOW,98.0,0.8874
LOW,107.0,0.9941
LOW,81.0,0.5585
LOW,27.0,0.4731
LOW,75.0,1.3283
LOW,14.0,1.2861
LOW,68.0,1.2981
LOW,98.0,1.4458
LOW,90.0,0.2785
LOW,115.0,1.4827
LOW,51.0,0.599
LOW,74.0,1.5597
LOW,131.0,1.1474
LOW,98.0,1.1701
LOW,118.0,1.42
LOW,87.0,1.431
LOW,136.0,1.127
LOW,31.0,0.5070
LOW,91.0,1.1257
LOW,42.0,0.9002
LOW,78.0,0.514
LOW,74.0,1.2806
LOW,112.0,0.9922
LOW,22.0,0.8863
LOW,90.0,0.4873
LOW,61.0,0.4775
LOW,48.0,0.4559
LOW,166.0,1.118
MED,70.5,0.4791
MED,115.5,0.7939
MED,77.5,0.571
MED,70.5,0.5798
MED,37.5,0.4599
MED,126.5,0.5864
MED,59.5,0.5672
MED,19.5,0.2806
MED,76.5,0.1806
MED,89.5,0.3992
MED,70.5,0.8143
MED,115.5,0.7891
MED,45.5,0.5486
MED,148.5,0.8634
MED,79.5,0.7795
MED,45.5,0.669
MED,96.5,0.7205
MED,127.5,1.2162
MED,79.5,1.333
MED,50.5,0.6155
MED,109.5,1.069
MED,90.5,1.178
MED,92.5,1.108
MED,73.5,0.7407
MED,97.5,0.7511
MED,46.5,0.4871
MED,123.5,0.6872
MED,109.5,0.898
MED,130.5,1.0125
MED,106.5,1.2435
MED,88.5,0.8961
MED,26.5,0.324
MED,103.5,0.7464
MED,178.5,1.3146
MED,172.5,0.6469
MED,78.5,0.8564
MED,36.5,0.1649
MED,118.5,0.9326
MED,60.5,0.5995
MED,66.5,0.663
MED,115.5,0.884
MED,139.5,1.103
MED,119.5,0.6395
MED,94.5,0.9713
MED,19.5,0.4979
MED,145.5,1.0958
MED,85.5,0.9661
MED,144.5,0.8872
HIGH,102.0,1.0621
HIGH,106.0,1.116
HIGH,114.0,0.7719
HIGH,47.0,0.5236
HIGH,126.0,0.7972
HIGH,109.0,0.8538
HIGH,86.0,0.4944
HIGH,99.0,1.3678
HIGH,113.0,0.3293
HIGH,97.0,0.6317
HIGH,69.0,0.4808
HIGH,120.0,1.2176
HIGH,148.0,0.8706
HIGH,51.0,0.349
HIGH,114.0,0.8116
HIGH,59.0,0.878
HIGH,114.0,0.7032
HIGH,148.0,0.748
HIGH,131.0,1.0944
HIGH,107.0,0.7891
HIGH,114.0,0.9559
HIGH,105.0,0.3882
HIGH,59.0,0.6866
HIGH,56.0,0.3343
HIGH,113.0,0.6771
HIGH,117.0,0.3378
HIGH,103.0,1.0618
HIGH,76.0,0.6202
HIGH,62.0,0.7377
HIGH,128.0,0.7991
HIGH,65.0,0.671
HIGH,147.0,0.4986
HIGH,169.0,0.8259
HIGH,91.0,0.8982
HIGH,145.0,0.9472
HIGH,116.0,0.9696
HIGH,76.0,0.7701
HIGH,88.0,0.7236
HIGH,164.0,0.9643
HIGH,143.0,0.4546
HIGH,111.0,0.8625
HIGH,70.0,0.3802
HIGH,95.0,0.7518
HIGH,89.0,1.083
HIGH,107.0,0.7088
HIGH,44.0,0.2556
HIGH,113.0,0.768
HIGH,64.0,0.3979
HIGH,138.0,0.9041
HIGH,76.0,0.728
HIGH,50.0,0.6538
HIGH,85.0,0.7361
HIGH,69.0,0.443
HIGH,101.0,0.556
HIGH,126.0,0.6661
HIGH,134.0,0.7471
HIGH,92.0,0.6483
HIGH,112.0,0.5365
HIGH,60.0,1.0419
HIGH,76.0,0.6042
HIGH,158.0,0.7669
HIGH,87.0,0.5591
HIGH,157.0,0.8117
HIGH,160.0,1.0564
HIGH,61.0,0.3764
HIGH,152.0,1.2307
HIGH,117.0,0.764
