sex,subject,diet,blood.plasma
male,1,fed,42.8
male,1,10.day.fast,42.4
male,1,20.day.fast,38.9
male,2,fed,43.1
male,2,10.day.fast,42.2
male,2,20.day.fast,40.3
male,3,fed,40.4
male,3,10.day.fast,40.8
male,3,20.day.fast,37.5
male,4,fed,46.6
male,4,10.day.fast,45.9
male,4,20.day.fast,42.9
female,5,fed,42.2
female,5,10.day.fast,42.4
female,5,20.day.fast,39.7
female,6,fed,38.7
female,6,10.day.fast,38.1
female,6,20.day.fast,35.8
female,7,fed,35.3
female,7,10.day.fast,34.3
female,7,20.day.fast,32.3
female,8,fed,40.5
female,8,10.day.fast,40.1
female,8,20.day.fast,37.3
